time,leader_q1,leader_q2,leader_dq1,leader_dq2,leader_u1,leader_u2,follower_q1,follower_q2,follower_dq1,follower_dq2,follower_u1,follower_u2
0.0,0.8000000000178673,-0.9999999999609638,-2.2443780555631758e-11,-1.4094782134621352e-11,-9.187211493713396e-11,-4.376353743791718e-10,3.74734791696254e-12,3.5045058034832826e-12,-4.486951134368476e-11,-5.1038120794829746e-11,5.0,-5.0
0.01,0.8000000000177707,-0.9999999999610215,-4.0223058144236503e-11,-3.964546298628311e-11,3.0000785640927696e-11,-2.635987320522506e-10,4.070874905212123e-12,3.872749744976565e-12,3.6380849288024734e-10,1.773119466027079e-10,5.0,-5.0
0.02,0.8000000000174415,-0.9999999999614293,-5.93983713659523e-11,-8.07625210836828e-11,1.645166290936506e-10,2.076822485206048e-11,3.7760673047621476e-12,3.541340162609604e-12,-4.710751369932182e-11,-5.3962707176765943e-11,5.0,-5.0
0.03,0.8000000000168151,-0.9999999999623368,-9.740328445089574e-11,-1.4715416311643726e-10,4.307674367948163e-10,4.833368488564419e-10,3.760865315258723e-12,3.52267935488377e-12,-4.701324875508866e-11,-5.3843520341797086e-11,5.0,-5.0
0.04,0.8000000000156986,-0.999999999964087,-1.323205465937393e-10,-2.0838663952440575e-10,6.827774958996392e-10,9.224335156938607e-10,4.063857326350776e-12,3.866901191736058e-12,3.636502577981734e-10,1.7681181603817686e-10,5.0,-5.0
0.05,0.8000000000148298,-0.9999999999655427,-1.3592368859713247e-10,-2.0307261059515753e-10,7.190753151168767e-10,9.06285515785001e-10,3.722378874263764e-12,3.4802529467285983e-12,-4.629056596847525e-11,-5.348427118787096e-11,5.0,-5.0
0.06,0.8000000000131051,-0.9999999999683559,-1.0939357317739735e-10,-1.7244841528810104e-10,5.627446838205345e-10,7.370623041259914e-10,3.647200741502187e-12,3.6269970317871758e-12,-1.4778003911043451e-10,6.852969226502363e-11,5.0,-5.0
0.07,0.8000000000107952,-0.9999999999701299,-9.90240428874415e-10,-6.105674123491472e-10,6.566936638788921e-09,3.7319888453048e-09,3.974555556110336e-12,3.768108127620715e-12,-5.1902013962055606e-11,-5.800738511501587e-11,5.0,-5.0
0.08,0.8000000000123177,-0.9999999999693456,-1.1981456512434405e-10,-6.287845941816928e-11,6.441598008991926e-10,7.63545925725827e-12,3.683240784519714e-12,3.4347119795421367e-12,-4.6233477413462005e-11,-5.368354897793156e-11,5.0,-5.0
0.09,0.8000000000124625,-0.9999999999693373,1.2752098661349765e-09,8.348865172469465e-10,-8.816872560443832e-09,-6.0798327220379635e-09,3.3837667492179088e-12,3.0816788347472705e-12,-4.02973319618117e-11,-4.7961146231303776e-11,5.0,-5.0
0.1,0.800000000012421,-0.999999999969469,1.2012839515070294e-09,7.885622784251766e-10,-8.31504587170555e-09,-5.763929626649584e-09,3.4611935617415543e-12,3.161236093293535e-12,-4.732073693685195e-11,-5.48652818545835e-11,5.0,-5.0
0.11,0.8000000000121756,-0.9999999999695207,-4.80148136321131e-11,-1.9812536843443524e-12,1.5925796364791335e-10,-4.028905543302218e-10,3.32965544845744e-12,3.4608248488347155e-12,-1.123421240063558e-10,8.723876661869235e-11,5.0,-5.0
0.12,0.800000000011895,-0.9999999999696062,-3.901821368599314e-11,2.895196565556623e-12,1.0208959480221585e-10,-4.34787954073501e-10,3.512733665911025e-12,3.2009837810792816e-12,-1.332663321653904e-11,-1.0601851837782441e-11,5.0,-5.0
0.13,0.800000000011428,-0.9999999999699195,-7.012229376950116e-11,-6.655630729028507e-11,3.193711813483419e-10,4.041204818618234e-11,3.667375665508474e-12,3.3955227638004956e-12,-3.185062881116916e-11,-3.386130635704444e-11,5.0,-5.0
0.14,0.8000000000105175,-0.9999999999710876,-2.3044035342480731e-10,-3.336491110206885e-10,1.4188549999827318e-09,1.867407278718492e-09,3.435218256111088e-12,3.135295160671499e-12,-3.504934254527461e-11,-4.0479055049454934e-11,5.0,-5.0
0.15,0.8000000000108553,-0.9999999999704242,1.2666505922813115e-09,9.500480580583454e-10,-8.736881719740175e-09,-6.8458467537454636e-09,3.4939468005009668e-12,3.201152664743274e-12,-4.1372677317498126e-11,-4.754913455369168e-11,5.0,-5.0
0.16,0.8000000000108035,-0.9999999999699992,-3.538958481591378e-13,1.2572271276585719e-10,-1.4516781166237507e-10,-1.2622596534419689e-09,3.2974901893301307e-12,2.9720165661046735e-12,-3.79132434770023e-11,-4.4601020836792064e-11,5.0,-5.0
0.17,0.8000000000094515,-0.9999999999705318,-1.2714784850753347e-09,-8.980015895035957e-10,8.492243759438738e-09,5.686444847750531e-09,3.122367323836346e-12,2.7642601469437767e-12,-3.5063016138320433e-11,-4.1869837130803786e-11,5.0,-5.0
0.18,0.8000000000100195,-0.9999999999701155,5.556953564609521e-12,1.4532620552958864e-10,-1.745373130944091e-10,-1.3935946673962665e-09,2.9601166732730793e-12,2.5694687956762567e-12,-3.20606493514906e-11,-3.8642135233157276e-11,5.0,-5.0
0.19,0.8000000000101399,-0.9999999999696365,1.5564340451385216e-11,5.865823720796816e-11,-2.440384416336661e-10,-8.124789173125208e-10,2.786268441921389e-12,2.604453393918936e-12,-5.206787310735529e-11,1.8222242499977973e-10,5.0,-5.0
0.2,0.8000000000101236,-0.9999999999694325,-1.729354849633572e-11,3.0997347968885695e-12,-2.102044250942495e-11,-4.3854813459492693e-10,2.9200380922669416e-12,2.7540278285240185e-12,-6.693656601260067e-11,1.655967522450138e-10,5.0,-5.0
0.21,0.8000000000099219,-0.9999999999695599,-4.227374526984548e-11,-4.201898975517219e-11,1.511148732250074e-10,-1.30876734311919e-10,3.0468583064679555e-12,2.656170387762037e-12,-4.286504647436758e-11,-4.970529984915615e-11,5.0,-5.0
0.22,0.8000000000095459,-0.9999999999700008,-6.657691344494967e-11,-8.574066855480446e-11,3.2104043004996963e-10,1.7160293637396778e-10,2.825777013101735e-12,2.397142920750556e-12,-3.084302891810682e-11,-3.6300740786217343e-11,5.0,-5.0
0.23,0.8000000000080861,-0.9999999999712035,-1.1647089688781193e-09,-7.890902023557364e-10,7.78693574122231e-09,4.957138748147676e-09,2.981507360620621e-12,2.570680623610809e-12,-4.666538865170692e-11,-5.37813598655952e-11,5.0,-5.0
0.24,0.8000000000076425,-0.9999999999716579,-1.1910896151677885e-09,-8.171603197200381e-10,7.971871313011603e-09,5.15367698846015e-09,3.0422667238922455e-12,2.6414982468200138e-12,-4.9208853834336714e-11,-5.6475996507038125e-11,5.0,-5.0
0.25,0.8000000000083375,-0.9999999999717195,-2.0997620158825022e-10,-3.590426791147449e-10,1.3098741295527864e-09,2.0482218567552093e-09,3.1534424553113955e-12,2.769544661331049e-12,-5.450702932171092e-11,-6.207441670378557e-11,5.0,-5.0
