u1,u2
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-4.943134094544596,5.0
-5.0,5.0
-5.0,5.0
-4.902558485220534,5.0
-4.943200557657211,5.0
-4.973578737751952,5.0
-4.968329285367759,5.0
-4.9095338291264525,5.0
-4.880592634291894,5.0
-4.912537089247402,5.0
-4.818293569536779,5.0
-4.8095425913847745,5.0
-4.758733043171633,5.0
-4.725898813772381,5.0
-4.734113938105627,5.0
-4.633555312508929,5.0
-4.639660432900209,5.0
-4.6369024214405306,5.0
-4.5855080051786,5.0
-4.595658386054843,5.0
-4.642693792306938,5.0
-4.541686086373517,5.0
-4.546328670226571,5.0
-4.490985288757821,5.0
-4.533189135619875,5.0
-4.517179473925424,5.0
-4.476413919242578,5.0
-4.517701673743727,5.0
-4.361012200424918,5.0
-4.367845213153236,5.0
-4.386075674932257,5.0
-4.396313969108101,5.0
-4.363978350185721,5.0
-4.294801344001337,5.0
-4.295546223640375,5.0
-4.339682776332227,5.0
-4.207667987704029,5.0
-4.288925200827394,5.0
-4.3549282398111515,5.0
-4.215608751420405,5.0
-4.174476561721935,5.0
-4.1531710765024386,5.0
-4.190950669331274,5.0
-4.1716903939681504,5.0
-4.192315322312124,5.0
-4.15795570277329,5.0
-4.166564014626155,5.0
-4.101708167920123,5.0
-3.972555799174584,5.0
-4.03603667354881,5.0
-4.077231553159532,5.0
-4.0708116328010275,5.0
-3.980685313275934,5.0
-3.854095673161501,5.0
-3.983157338439028,5.0
-3.8896300561990627,5.0
-3.9069842094945346,5.0
-3.7954448274150314,5.0
-3.818594442001872,5.0
-3.884733187343909,5.0
-3.756361301033161,5.0
-3.730654842019255,5.0
-3.7099532020207904,5.0
-3.764172977918143,5.0
-3.605075919888571,5.0
-3.7327993256256344,5.0
-3.6822837890011706,5.0
-3.6277369900944834,5.0
-3.7044780458038895,5.0
-3.543872172796417,5.0
-3.595274160335938,5.0
-3.608259416510598,5.0
-3.506506094419451,5.0
-3.486482438668789,5.0
-3.478122612787335,5.0
-3.5349790154791254,5.0
-3.415807450772871,5.0
-3.4340848227206178,5.0
-3.4089023829336305,5.0
-3.301078542977125,5.0
-3.4427005387352767,5.0
-3.3879620678654625,5.0
-3.22349812421288,5.0
-3.318507071498892,5.0
-3.2519084364984137,5.0
-3.3042594655662607,5.0
-3.2231436643251996,5.0
-3.2585382307591964,5.0
-3.2013994030566773,5.0
-3.163205937070974,5.0
-3.18683183601869,5.0
-3.133955976304112,5.0
-3.1134125452455037,5.0
-3.1474422961388804,5.0
-3.0223295368794467,5.0
-3.010111499925349,5.0
-3.1035434565695597,5.0
-2.982427222294244,5.0
-3.034052422384874,5.0
-3.021894403781329,5.0
-3.058577340677627,5.0
-2.9989392211480337,5.0
-2.9343172645075972,5.0
-2.8989208196232763,5.0
-2.846595865468383,5.0
-2.899803519221741,5.0
-2.8033511584289696,5.0
-2.7992017757209986,5.0
-2.7315512506745456,5.0
-2.7930340100239017,5.0
-2.750482762542338,5.0
-2.7608862253472446,5.0
-2.668667745833164,5.0
-2.673359631688744,5.0
-2.707572722978802,5.0
-2.6937126102609565,5.0
-2.642614849878448,5.0
-2.554030721112361,5.0
-2.6321069573211098,5.0
-2.659805008331179,5.0
-2.5320149985030502,5.0
-2.5905475099231885,5.0
-2.4891664461484706,5.0
-2.5799212062471653,5.0
-2.53359151833489,5.0
-2.5067483076434205,5.0
-2.3864187152911747,5.0
-2.390151947248358,5.0
-2.402873285060112,5.0
-2.3078564381368802,5.0
-2.2759551872073085,5.0
-2.341638332504713,5.0
-2.308935686320433,5.0
-2.310074076189859,5.0
-2.353766681045618,5.0
-2.3145251270617813,5.0
-2.2637743938418047,5.0
-2.229836441006118,5.0
-2.2363269849934393,5.0
-2.22920152689904,5.0
-2.043081857658705,5.0
-2.0799443333248613,5.0
-2.1746140866901094,5.0
-2.0399546586747275,5.0
-2.116871139375055,5.0
-2.0866492381526323,5.0
-2.0840034767617985,5.0
-2.0521166638083197,5.0
-1.9494534714887355,5.0
-1.9090070789779277,5.0
-1.890990275427355,5.0
-1.9400201211021864,5.0
-1.8914739084861647,5.0
-1.8900348147584372,5.0
-1.7621965991688615,5.0
-1.7889239383161215,5.0
-1.8287413108460937,5.0
-1.7750425553120492,5.0
-1.7917712540371327,5.0
-1.7344931586574905,5.0
-1.8526171104444005,5.0
-1.7013567072211926,5.0
-1.7249354349128168,5.0
-1.636019630969764,5.0
-1.6266495973701454,5.0
-1.577897877893226,5.0
-1.6727718999560786,5.0
-1.5681244802222718,5.0
-1.6592668005631344,5.0
-1.620830984349357,5.0
-1.4803635444211671,5.0
