it,K_err,q1,q2,q3,q4
0,13.33511756,10.0,10.0,10.0,10.0
1,12.20493921,14.1576,14.1576,5.8424,14.1576
2,11.21800503,17.8039,17.8039,9.4886,17.8039
3,10.58608581,20.5582,20.5582,12.243,20.5582
4,10.58447628,20.4233,20.6931,12.3779,20.4233
5,10.58325351,20.3057,20.8107,12.4955,20.3057
6,10.06101625,22.7119,23.217,14.9018,17.8994
7,9.6471912,24.7946,25.2997,16.9845,15.8167
8,9.64694945,24.8443,25.25,16.9348,15.767
9,9.31594301,26.6703,27.076,18.7607,17.593
10,9.00248517,28.4073,28.8129,17.0238,19.3299
11,9.00078009,28.5341,28.6861,16.8969,19.2031
12,8.73484494,30.1058,30.2577,15.3253,20.7747
13,8.44889739,31.7087,31.8607,16.9283,19.1718
14,8.44708115,31.8352,31.7342,16.8017,19.0452
15,8.24909755,33.1503,33.0493,18.1168,20.3603
16,8.24898879,33.1198,33.0798,18.1473,20.3298
17,8.24616206,32.9641,33.2355,17.9916,20.1741
18,8.07558055,34.1691,34.4405,19.1966,21.3791
19,7.80573602,35.6579,35.9293,17.7078,19.8903
20,7.56260228,37.0478,37.3193,16.3179,18.5004
21,7.34381817,38.3463,38.6177,15.0194,17.2019
22,7.34315635,38.2752,38.6887,14.9484,17.1309
23,7.1610713,39.4458,39.8593,16.1189,15.9604
24,7.15996784,39.5363,39.7688,16.0284,15.8699
25,6.99914167,40.6225,40.855,17.1146,14.7836
26,6.99893544,40.6611,40.8164,17.076,14.8222
27,6.998022,40.7425,40.735,16.9947,14.7408
28,6.83324956,41.8289,41.8215,15.9082,15.8273
29,6.68769043,42.838,42.8305,16.9173,14.8182
30,6.68748494,42.8002,42.8682,16.8795,14.856
31,6.52169512,43.8628,43.9308,15.817,13.7934
32,6.52148916,43.8254,43.9682,15.7796,13.8308
33,6.52107292,43.8784,43.9152,15.7266,13.7778
34,6.40219449,44.7712,44.8079,16.6194,14.6705
35,6.29780642,45.5998,45.6365,17.448,15.4991
36,6.29764693,45.5675,45.6688,17.4157,15.5314
37,6.18360955,46.4242,46.5254,18.2724,14.6747
38,6.18306997,46.3655,46.5842,18.2137,14.7334
39,6.05069681,47.2793,47.498,17.2999,15.6472
40,5.96839667,47.994,48.2127,18.0146,16.3619
41,5.96831212,47.9712,48.2355,17.9918,16.3848
42,5.96821073,47.9962,48.2106,17.9669,16.4097
43,5.96813656,47.9748,48.232,17.9455,16.4311
44,5.89489968,48.6442,48.9014,18.6149,17.1005
45,5.7850018,49.4566,49.7138,17.8025,17.9129
46,5.72335895,50.0611,50.3183,18.407,18.5173
47,5.71744653,50.2475,50.1319,18.2206,18.331
48,5.56774195,51.1781,51.0625,17.29,17.4004
49,5.50943905,51.7547,51.6391,17.8666,17.977
50,5.36851168,52.641,52.5254,16.9803,17.0907
51,5.36444926,52.4913,52.6751,16.8306,16.941
52,5.36080649,52.3497,52.8168,16.689,16.7994
53,5.27169859,53.0473,53.5144,17.3866,16.1017
54,5.14584415,53.8671,54.3342,16.5669,15.2819
55,5.14574278,53.8902,54.3111,16.5437,15.305
56,5.1456512,53.9122,54.2891,16.5218,15.327
57,5.14313322,53.7968,54.4045,16.4064,15.2116
58,5.14037639,53.9176,54.2838,16.2857,15.0909
59,5.1381578,53.8093,54.392,16.1774,14.9827
60,5.07984648,54.3633,54.946,16.7314,15.5367
61,5.07974716,54.386,54.9233,16.7087,15.5594
62,4.96344113,55.1598,55.697,15.9349,14.7857
63,4.90865597,55.6875,56.2248,16.4626,15.3134
64,4.90595424,55.5708,56.3415,16.3459,15.1967
65,4.82508864,56.2065,56.9772,15.7103,15.8324
66,4.82260331,56.0956,57.0881,15.5993,15.7214
67,4.77416072,56.5846,57.5772,16.0884,16.2105
68,4.7711698,56.4636,57.6982,15.9673,16.0895
69,4.77111395,56.4802,57.6817,15.9839,16.0729
70,4.76840281,56.3649,57.7969,15.8687,15.9577
71,4.76596348,56.2557,57.9061,15.7594,15.8484
72,4.69244213,56.8531,58.5036,16.3568,15.251
73,4.62530626,57.4197,59.0701,16.9234,14.6844
74,4.62285307,57.3118,59.178,16.8155,14.5765
75,4.62233963,57.3611,59.1287,16.7662,14.6258
76,4.54569738,57.9616,59.7292,16.1657,15.2263
