it,K_err,Q_diag
0,13.33511756,"[10.0, 10.0, 10.0, 10.0]"
1,12.20493921,"[14.1576, 14.1576, 14.1576, 5.8424]"
2,12.19397937,"[14.5488, 13.7665, 14.5488, 6.2335]"
3,12.18032195,"[14.1069, 14.2083, 14.1069, 6.6753]"
4,11.29006047,"[17.5537, 17.6551, 10.6602, 10.1221]"
5,11.28186963,"[17.8737, 17.3351, 10.9802, 10.4421]"
6,11.27653941,"[18.1316, 17.0772, 11.2381, 10.7]"
7,10.57453533,"[21.0476, 19.9931, 14.154, 13.616]"
8,10.1044143,"[23.3353, 22.2809, 11.8662, 15.9037]"
9,9.67220528,"[25.4786, 24.4241, 14.0095, 18.047]"
10,9.29708275,"[27.4195, 26.365, 15.9504, 16.106]"
11,9.2969581,"[27.3844, 26.4001, 15.9153, 16.1411]"
12,9.29683733,"[27.3501, 26.4344, 15.9496, 16.1068]"
13,9.29646123,"[27.2894, 26.4951, 15.8889, 16.046]"
14,8.99770073,"[28.9901, 28.1959, 17.5896, 17.7468]"
15,8.75140403,"[30.5066, 29.7124, 19.1061, 19.2633]"
16,8.75135448,"[30.4852, 29.7337, 19.0848, 19.2846]"
17,8.74825847,"[30.317, 29.9019, 18.9166, 19.1163]"
18,8.74637866,"[30.4481, 29.7708, 18.7855, 18.9853]"
19,8.74367008,"[30.2908, 29.9282, 18.6282, 18.8279]"
20,8.48854461,"[31.8059, 31.4433, 17.113, 20.343]"
21,8.20339827,"[33.3782, 33.0156, 15.5407, 18.7708]"
22,8.20230297,"[33.2814, 33.1124, 15.4439, 18.674]"
23,7.99915453,"[34.5906, 34.4216, 14.1347, 19.9832]"
24,7.99792367,"[34.6921, 34.3202, 14.2361, 19.8818]"
25,7.82077088,"[35.9016, 35.5298, 15.4457, 21.0913]"
26,7.66838974,"[37.0101, 36.6382, 16.5542, 22.1998]"
27,7.53614483,"[38.0319, 37.66, 17.576, 23.2216]"
28,7.34317249,"[39.2504, 38.8785, 18.7945, 22.0031]"
29,7.3377215,"[39.4537, 38.6752, 18.5912, 21.7999]"
30,7.3376038,"[39.4836, 38.6453, 18.6211, 21.7699]"
31,7.33750183,"[39.5114, 38.6175, 18.6489, 21.7421]"
32,7.11053793,"[40.8111, 39.9172, 17.3492, 20.4424]"
33,7.11041926,"[40.8407, 39.8876, 17.3788, 20.4128]"
34,6.94543377,"[41.9351, 40.982, 18.4732, 19.3184]"
35,6.84643881,"[42.7754, 41.8224, 19.3135, 20.1588]"
36,6.75877868,"[43.5603, 42.6072, 20.0984, 20.9436]"
37,6.7526815,"[43.7662, 42.4012, 19.8924, 20.7376]"
38,6.55177074,"[44.938, 43.5731, 18.7206, 19.5658]"
39,6.55163532,"[44.9078, 43.6033, 18.7508, 19.5356]"
40,6.47159603,"[45.6413, 44.3367, 19.4842, 20.269]"
41,6.3519755,"[46.5295, 45.2249, 18.596, 21.1573]"
42,6.34412946,"[46.3032, 45.4513, 18.3696, 20.9309]"
43,6.16438278,"[47.3773, 46.5254, 17.2955, 19.8568]"
44,6.15991124,"[47.5457, 46.3571, 17.1271, 19.6884]"
