it,K_err,q1,q2,q3,q4
0,13.32227105,9.5395,10.4605,10.4605,10.4605
1,13.32117712,9.6722,10.3278,10.3278,10.5932
2,13.31487146,9.3502,10.6498,10.6498,10.9152
3,12.38738736,13.1009,14.4005,6.8991,7.1645
4,12.3857541,13.2569,14.2444,7.0552,7.0085
5,12.34745778,14.0018,13.4996,7.8,7.7533
6,11.56241888,17.2865,16.7842,11.0847,4.4687
7,11.5589169,17.4987,16.572,10.8725,4.6809
8,11.07456749,19.9782,19.0516,13.352,2.2013
9,10.33142915,22.972,22.0453,10.3583,5.195
10,9.99514655,24.902,23.9754,12.2884,3.265
11,9.97876407,25.3237,23.5537,12.7101,3.6867
12,9.41053556,27.7832,26.0132,15.1695,6.1461
13,9.18326744,29.2844,27.5143,16.6707,4.6449
14,9.16130934,28.8177,27.981,16.204,5.1116
15,8.97360336,30.1639,29.3273,17.5503,3.7654
16,8.58620713,32.0773,31.2407,19.4637,5.6788
17,8.39844852,33.3722,32.5355,18.1688,4.3839
18,8.2760721,34.4105,33.5739,19.2072,3.3455
19,7.96395525,36.056,35.2193,20.8527,4.991
20,7.95214066,36.3697,34.9057,20.539,5.3047
21,7.93009153,35.9389,35.3364,20.1082,5.7354
22,7.82230566,36.8824,36.2799,21.0517,4.792
23,7.58186153,38.2818,37.6793,22.4511,6.1913
24,7.58172834,38.3142,37.6468,22.4835,6.2238
25,7.56322448,37.9302,38.0308,22.0996,6.6078
26,7.47021174,38.7843,38.8848,22.9536,5.7538
27,7.32668457,39.8359,39.9364,21.902,4.7022
28,7.03477518,41.3197,41.4202,20.4182,6.1859
29,6.85936328,42.4497,42.5502,21.5482,7.316
30,6.78511761,43.1749,43.2754,22.2734,6.5908
31,6.76962919,42.8436,43.6067,21.9421,6.922
32,6.62401713,43.8525,44.6156,22.951,7.9309
33,6.55782422,44.5246,45.2877,23.6232,7.2587
34,6.55780142,44.5122,45.3002,23.6356,7.2712
35,6.43389307,45.4275,46.2156,24.551,8.1866
36,6.30256692,46.3566,47.1447,23.6219,7.2575
37,6.28863546,46.0546,47.4467,23.3199,7.5596
38,6.27727192,46.326,47.1752,23.0484,7.8311
39,6.22234476,46.9218,47.771,23.6442,7.2353
40,6.11384397,47.7558,48.605,24.4781,8.0692
41,6.1133237,47.6985,48.6623,24.4208,8.0119
42,6.10088149,47.4177,48.9431,24.1401,8.2927
43,6.09015132,47.1572,49.2035,23.8796,8.5532
44,5.99727526,47.9199,49.9663,24.6423,9.3159
45,5.98757575,48.1645,49.7217,24.3978,9.5605
46,5.81623592,49.1864,50.7437,23.3758,10.5824
47,5.76130986,49.7585,51.3158,23.9479,10.0103
48,5.63832842,50.6074,52.1646,23.099,9.1614
49,5.563223,51.2669,52.8241,23.7585,9.8209
50,5.41217492,52.1913,53.7485,22.8341,10.7453
51,5.29613884,52.9899,54.5472,22.0354,9.9467
52,5.15860823,53.8506,55.4078,21.1748,10.8074
53,5.10061768,54.4044,55.9616,21.7286,11.3612
54,5.04874461,54.9251,56.4823,22.2493,11.8819
55,5.04488982,54.7836,56.6238,22.1077,12.0234
56,5.04190618,54.6593,56.7481,21.9835,11.8991
57,5.03857013,54.5278,56.8797,21.8519,12.0307
58,4.99312443,55.0114,57.3634,22.3356,11.547
59,4.88420489,55.754,58.1059,21.5931,10.8044
60,4.84587352,56.1916,58.5435,22.0306,10.3669
61,4.81117727,56.6063,58.9582,22.4454,9.9521
62,4.76416353,57.0878,59.4397,22.9269,10.4336
63,4.73329238,57.4756,59.8276,23.3147,10.0457
64,4.73012569,57.5998,59.7034,23.1906,9.9216
65,4.72290191,57.4123,59.8909,23.0031,10.1091
66,4.72090943,57.314,59.9892,22.9049,10.0109
67,4.67816872,57.7687,60.4439,23.3596,10.4656
68,4.66981627,57.9687,60.2439,23.1596,10.6655
69,4.64066278,58.3418,60.617,23.5327,10.2924
70,4.54612551,59.0088,61.284,22.8657,9.6255
71,4.43041133,59.7394,62.0146,22.135,10.3561
72,4.34212743,60.3692,62.6444,21.5052,9.7263
73,4.31808678,60.696,62.9712,21.832,9.3995
74,4.2799335,61.1068,63.3821,22.2429,9.8103
75,4.27790177,61.0124,63.4765,22.1485,9.7159
76,4.27500241,61.1253,63.3636,22.0356,9.603
77,4.19478248,61.7153,63.9536,21.4456,9.013
78,4.1929989,61.8029,63.8659,21.3579,8.9253
79,4.11973247,62.3617,64.4246,20.7992,8.3666
80,4.11910722,62.3102,64.476,20.7478,8.3152
81,4.05216512,62.8399,65.0057,20.2182,7.7856
82,4.0409243,63.0559,64.7896,20.0021,8.0016
83,4.02424173,63.3188,65.0525,20.265,7.7387
84,3.98092495,63.7415,65.4752,20.6877,8.1614
85,3.97093383,63.5392,65.6775,20.4855,8.3637
86,3.90692244,64.0476,66.1859,19.977,7.8553
87,3.90664617,64.0144,66.2192,19.9437,7.822
88,3.90639815,63.9828,66.2508,19.9122,7.7904
89,3.80043061,64.631,66.899,19.264,8.4386
90,3.74114491,65.1098,67.3777,18.7852,7.9599
91,3.6867776,65.5648,67.8328,18.3302,7.5048
